Al;Co;Cr;Cu;Fe;Mg;Mn;Na;Ni;NiDailyExtraction
0.4;6;0.17;2;13.35;4.1;0.0645;0;0.4225;0.78%
0.4;6;0.17;2;13.35;4.1;0.0645;0;0.4225;0.77%
0.4;7;171;3;12.8;4.7;71;0;0.4;0.84%
0.4;7;171;3;12.8;4.7;71;0;0.4;0.72%
0.4;7;171;3;12.8;4.7;71;0;0.4;0.60%
0.4;7;171;3;12.8;4.7;71;0;0.4;0.54%
0.4;7;171;3;12.8;4.7;71;0;0.4;0.56%
0.4;6;179;3;13.5;4.3;72;0;445;0.64%
0.4;6;179;3;13.5;4.3;72;0;445;0.59%
0.4;7;173;3;14.1;3.8;0.07;0;454;0.51%
0.4;7;173;3;14.1;3.8;0.07;0;454;0.48%
0.4;7;173;3;14.1;3.8;0.07;0;454;0.52%
0.4;6;0.1755;3;11.8;3.95;66;0;0.4405;0.46%
0.4;6;0.1755;3;11.8;3.95;66;0;0.4405;0.44%
0.4;6;174;2;12.95;3.8;0.0665;0;0.4355;0.47%
0.4;7;176;3;13.2;4.15;61;0;425;0.49%
0.4;7;176;3;13.2;4.15;61;0;425;0.43%
0.4;7;176;3;13.2;4.15;61;0;425;0.50%
0.4;7;175;2;15;4;61;0;432;0.30%
0.4;7;175;2;15;4;61;0;432;0.33%
0.4;7;175;2;15;4;61;0;432;0.40%
0.4;7;168;3;12.5;3.7;62;0;409;0.41%
0.4;7;178;2;13.6;3.9;69;0;428;0.40%
0.4;7;178;2;13.6;3.9;69;0;428;0.37%
0.4;7;178;2;13.6;3.9;69;0;428;0.39%
0.4;7;178;2;13.6;3.9;69;0;428;0.40%
0.4;7;176;3;13.4;3.75;0.07;0;0.4425;0.41%
0.4;7;176;3;13.4;3.75;0.07;0;0.4425;0.42%
0.4;6;166;3;13.3;3.7;63;0;431;0.40%
0.4;6;166;3;13.3;3.7;63;0;431;0.40%
0.4;6;166;3;13.3;3.7;63;0;431;0.40%
0.4;6;175;2;13.1;3.8;69;0;454;0.38%
0.4;6;175;2;13.1;3.8;69;0;454;0.40%
0.4;6;175;2;13.1;3.8;69;0;454;0.43%
0.4;6;175;2;13.1;3.8;69;0;454;0.40%
0.4;7;0.1865;3;14.5;3.85;0.0665;0;0.4295;0.39%
0.4;7;0.1865;3;14.5;3.85;0.0665;0;0.4295;0.36%
0.4;7;0.1865;3;14.5;3.85;0.0665;0;0.4295;0.39%
0.4;7;0.1865;3;14.5;3.85;0.0665;0;0.4295;0.39%
0.4;7;177;3;13.6;4.2;69;0;0.43;0.34%
0.4;7;177;3;13.6;4.2;69;0;0.43;0.37%
0.4;7;177;3;13.6;4.2;69;0;0.43;0.39%
0.4;7;179;3;13.7;4.1;69;0;464;0.36%
0.4;7;179;3;13.7;4.1;69;0;464;0.36%
0.4;7;185;3;14.9;4.3;64;0;0.44;0.34%
0.4;7;185;3;14.9;4.3;64;0;0.44;0.34%
0.3;5;151;2;13.6;2.8;49;0;365;0.40%
0.3;5;151;2;13.6;2.8;49;0;365;0.41%
0.3;5;151;2;13.6;2.8;49;0;365;0.39%
0.3;5;151;2;13.6;2.8;49;0;365;0.38%
0.3;6;0.1645;3;12.85;2.9;0.0505;0;0.3885;0.35%
0.3;6;0.1645;3;12.85;2.9;0.0505;0;0.3885;0.29%
0.3;6;166;2;12.8;3.1;53;0;0.39;0.34%
0.3;6;166;2;12.8;3.1;53;0;0.39;0.36%
0.3;6;166;2;12.8;3.1;53;0;0.39;0.36%
0.3;7;161;3;12.25;3.2;59;0;0.3985;0.37%
0.3;7;161;3;12.25;3.2;59;0;0.3985;0.35%
0.3;7;161;3;12.25;3.2;59;0;0.3985;0.34%
0.3;7;161;3;12.25;3.2;59;0;0.3985;0.35%
0.4;7;0.17;2;11.8;3.4;57;0;359;0.37%
0.4;7;175;2;11.8;3.4;58;0;369;0.26%
0.3;7;163;2;11.5;3.5;57;0;394;0.30%
0.4;7;166;3;12.6;3.6;57;0;412;0.32%
0.4;7;172;3;12.8;3.5;0.06;0;393;0.32%
0.3;7;167;3;12.35;3.4;56;0;0.3845;0.34%
0.4;6;169;2;12.5;3.4;0.06;0;386;0.35%
0.3;6;0.1575;2;11.4;2.95;0.0585;0;389;0.34%
0.3;6;0.16;2;11.2;3;59;0;394;0.33%
0.4;6;164;2;12;3;59;0;387;0.36%
0.4;6;175;2;11.9;3.3;61;0;401;0.28%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.54%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.77%
0.08;0.0008;1;0.0008;0.08;0.08;1;0;0.0008;0.77%
0.08;0.0008;1;0.0008;0.08;0.08;1;0;0.0008;0.69%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.63%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.55%
0.08;0.0008;2;0.0008;0.08;0.08;0.0008;0;2;0.53%
0.08;0.0008;2;0.0008;0.08;0.08;0.0008;0;2;0.51%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.50%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.51%
0.08;6;3;0.0008;0.08;1.3;49;0;18;0.52%
0.08;6;3;0.0008;0.08;1.3;49;0;18;0.53%
0.08;5;3;0.0008;0.08;1;39;0;17;0.53%
0.08;5;3;0.0008;0.08;1;39;0;17;0.43%
0.08;5;3;0.0008;0.08;1;39;0;17;0.53%
0.08;3;1;0.0008;0.08;0.9;44;0;16;0.52%
0.08;3;1;0.0008;0.08;0.9;44;0;16;0.51%
0.08;1;0.000008;0.0008;0.08;0.8;3;0;0.0015;0.48%
0.08;1;0.000008;0.0008;0.08;0.8;3;0;0.0015;0.50%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;0;1;0.52%
0.08;0.0008;0.0008;0.0008;0.08;0.8;1;0;1;0.55%
0.08;4;2;0.0008;0.08;1;33;0;12;0.50%
0.08;5;3;0.0008;0.08;1.1;44;0;15;0.41%
0.08;6;4;0.0008;0.08;1.1;43;0;16;0.39%
0.08;6;4;0.0008;0.08;1.1;43;0;16;0.40%
0.08;6;4;0.0008;0.08;1.1;43;0;16;0.41%
0.08;5;3;0.0008;0.08;1;43;0;15;0.35%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.35%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.38%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.40%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.40%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.39%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.36%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.26%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.40%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.38%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.38%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.39%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.37%
0.08;0.0008;0.0008;0.0008;0.08;0.2;0.0008;0;2;0.37%
0.08;0.0008;0.0008;0.0008;0.08;0.2;0.0008;0;2;0.36%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.37%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.37%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.37%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.36%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;0.0015;0.36%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;0.0015;0.36%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;2;0.35%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;2;0.35%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.34%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.35%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.32%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.32%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.32%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.32%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.32%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;1;0.31%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;0.0008;0.31%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.31%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.31%
0.08;1;1;1;0.08;0.08;1;0;1;0.31%
0.08;1;1;1;0.08;0.08;1;0;1;0.31%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.30%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.34%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.34%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.35%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.35%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.36%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.28%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;2;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.32%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.33%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;0.0008;0.29%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;0.0008;0.26%
0.08;0.0008;1;0.0008;0.08;0.08;0.0008;0;0.0008;0.30%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0015;0.29%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0015;0.31%
0.08;0.0008;0.0008;0.0008;0.08;0.08;1;0;2;0.30%
0.08;0.0008;0.0008;0.0008;0.08;0.08;1;0;2;0.30%
0.08;0.0008;0.0008;0.0008;0.08;0.08;1;0;2;0.30%
0.08;5;3;0.0008;0.08;1.15;47;0;16;0.28%
0.08;5;3;0.0008;0.08;1.15;47;0;16;0.27%
0.08;6;3;0.0008;0.08;1.2;47;0;19;0.26%
0.08;6;3;0.0008;0.08;1.2;47;0;19;0.28%
0.08;5;3;0.0008;0.08;1.1;51;0;16;0.28%
0.08;5;3;0.0008;0.08;1.1;51;0;16;0.29%
0.08;0.0008;1;0.0008;0.08;0.08;1;0;1;0.31%
0.08;0.0008;1;0.0008;0.08;0.08;1;0;1;0.30%
0.08;0.0015;1;0.0008;0.08;0.6;0.0155;0;0.0055;0.31%
0.08;0.0015;1;0.0008;0.08;0.6;0.0155;0;0.0055;0.29%
0.08;0.0008;0.0008;0.0008;0.08;0.2;5;0;2;0.30%
0.08;0.0008;0.0008;0.0008;0.08;0.2;5;0;2;0.29%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;3;0.29%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;3;0.27%
0.08;0.0008;0.0008;0.0008;0.08;0.08;1;0;1;0.29%
0.08;0.0008;0.0008;0.0008;0.08;0.08;1;0;1;0.28%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.27%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.28%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;3;0.30%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;3;0.28%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.25%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.25%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;1;0.24%
0.08;0.0008;0.0008;0.0008;0.08;0.1;1;0;1;0.25%
0.08;0.0008;0.0008;0.0008;0.08;0.1;1;0;1;0.26%
0.08;0.0008;0.0008;0.0008;0.08;0.1;1;0;1;0.23%
0.08;0.0008;1;0.0008;0.08;0.1;0.0008;0;1;0.23%
0.08;0.0008;1;0.0008;0.08;0.1;0.0008;0;1;0.25%
0.08;0.0008;1;0.0008;0.08;0.1;0.0008;0;1;0.25%
0;0;0;0;0;0;0;0;0;0.08%
0;0;0;0;0;0;0;0;0;0.02%
0;0;0;0;0;0;0;0;0;0.01%
0;0;0;0;0;0;0;0;0;0.01%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.01%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.11%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.11%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.10%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.10%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.09%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.23%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.26%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.65%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.11%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.05%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.03%
0.08;0.0008;0.0008;0.0008;0.08;0.08;0.0008;0;0.0008;0.01%